slug,name,skynet_score,market_cap,trading_vol_24h,volume_24h_display,volume_7d_display,all_time_volume,project_age_raw,project_founded_date,token_launch_age_raw,token_launch_date,has_website,website_url,has_github,github_url,has_twitter,twitter_url,has_discord,discord_url,has_telegram,telegram_url,ecosystems,audit_3p_count,audit_3p_records,has_certik_audit,certik_audit_count,certik_last_audit_date,certik_audit_names,certik_kyc,third_party_kyc,total_proposals,max_total_votes,major_holding_ratio,owner_holding_ratio
xdoge,Xdoge,62.99,,,,,,2 yrs 10 mos,2023-08-20,2 yrs 2 mos,2024-04-20,0,,1,https://github.com/xdoge-base,1,https://twitter.com/xdoge_base,0,,1,https://t.me/xdoge_base,Base | Linea,0,,Yes,1,,,No,No,,,87.03%,0.00%
creampye,CreamPYE,63.79,,,,,,5 yrs 2 mos,2021-04-20,5 yrs 2 mos,2021-04-20,0,,0,,1,https://twitter.com/PyeEcosystem,0,,0,,Bsc,0,,No,,,,No,No,,,14.24%,1.79%
tsilver,tSILVER,62.89,,,,,,5 yrs 8 mos,2020-10-20,3 yrs 8 mos,2022-10-20,0,,1,https://github.com/aurus-gold,1,https://twitter.com/AurusOfficial,0,,1,https://t.me/AurusOfficial,Ethereum,0,,No,,,,No,No,,,98.35%,0.00%
duet,Duet Protocol,62.13,,$1.66,,,,5 yrs 2 mos,2021-04-20,4 yrs 5 mos,2022-01-20,0,,1,https://github.com/duet-protocol,1,https://twitter.com/duetprotocol,0,,0,,Bsc | Ethereum,0,,Yes,2,10/14/2022,Duet Protocol Duet/Zerogoki,No,No,,,85.91%,62.27%
glory-finance,Glory Finance,63.62,,,,,,3 yrs 4 mos,2023-02-20,3 yrs 3 mos,2023-03-20,0,,1,https://github.com/GloryFinance,1,https://twitter.com/GloryFinanceio,0,,0,,Bsc,0,,Yes,1,,,No,No,,,56.08%,0.10%
openex,OpenEX,63.08,,,,,,3 yrs 5 mos,2023-01-20,0 yrs 0 mos,2026-06-20,0,,0,,1,https://twitter.com/openex_network,0,,1,https://t.me/oex_en,Coredao,0,,Yes,1,,,No,No,,,,
compendium-finance,Compendium,61.63,$6.02K,$39.83,,,,5 yrs 2 mos,2021-04-20,0 yrs 0 mos,2026-06-20,0,,1,https://github.com/CompendiumFi,1,https://twitter.com/compendiumfi,1,https://discord.com/invite/64r2xtqczs,0,,Solana,0,,No,,,,No,No,,,,
pylon-eco-token,Pylon Eco Token,62.77,,,,,,4 yrs 10 mos,2021-08-20,4 yrs 10 mos,2021-08-20,0,,1,https://github.com/pylonecosystem,1,https://twitter.com/pylonecosystem,0,,0,,Bsc,0,,No,,,,No,No,,,67.03%,0.00%
txa,TXA,62.76,,,,,,5 yrs 1 mos,2021-05-20,5 yrs 1 mos,2021-05-20,0,,0,,1,https://twitter.com/Project_TXA,0,,0,,Ethereum,0,,Yes,1,,,No,No,,,83.85%,0.00%
soldex,Soldex,62.74,,,,,,4 yrs 11 mos,2021-07-20,0 yrs 0 mos,2026-06-20,0,,0,,1,https://twitter.com/soldexai,0,,1,https://t.me/Soldexai,Solana,0,,No,,,,No,No,,,,
mate,Mate,61.79,$1.41K,$125.36,,,,4 yrs 10 mos,2021-08-20,4 yrs 10 mos,2021-08-20,0,,0,,1,https://twitter.com/usemate_,0,,0,,Bsc,1,10/20/2021|,No,,,,No,No,,,81.10%,0.00%
mane,MANE,62.70,,,,,,2 yrs 9 mos,2023-09-20,2 yrs 9 mos,2023-09-20,0,,0,,1,https://twitter.com/themanetoken,0,,0,,Ethereum,1,03/02/2024|InterFi Network,No,,,,No,No,,,2.31%,0.00%
starkdefi,StarkDeFi,62.71,,$87.37K,,,,4 yrs 3 mos,2022-03-20,4 yrs 3 mos,2022-03-20,0,,1,https://github.com/Starkdefi,1,https://twitter.com/StarkDefi,0,,0,,Starknet | Sectors | DeFi | DEX | Socials,0,,No,,,,No,No,,,,
rabbitx,RabbitX,62.71,,,,,,3 yrs 1 mos,2023-05-20,3 yrs 1 mos,2023-05-20,0,,0,,1,https://twitter.com/rabbitx_io,0,,0,,Ethereum,0,,No,,,,No,No,,,88.63%,0.00%
fintoken,FinToken,62.66,,,,,,3 yrs 7 mos,2022-11-20,3 yrs 7 mos,2022-11-20,0,,1,https://github.com/Fintoken1105/contracts/tree/e3d9058a9886585001aff74453ed684925143d2f/FTC.sol,1,https://twitter.com/FinTokenOffic,0,,1,https://t.me/FintokenEN,Bsc | Ethereum,0,,Yes,1,11/17/2022,Fintoken Coin,No,No,,,94.44%,0.00%
rbx,RBX,62.49,,,,,,4 yrs 8 mos,2021-10-20,4 yrs 8 mos,2021-10-20,0,,1,https://github.com/RBX-Carbon,1,https://twitter.com/RBXtoken,0,,0,,Ethereum,2,06/04/2022|Cyberscope; 05/17/2022|Cyberscope,No,,,,No,No,,,99.98%,0.00%
beetradefinance,Bee Trade Finance,62.42,,,,,,4 yrs 5 mos,2022-01-20,4 yrs 5 mos,2022-01-20,0,,1,https://github.com/Bee-Trade-Finance/beetrade-finance-token-smart-contract/blob/main/Token.sol,1,https://x.com/BeeTradeChain,0,,0,,Avalanche,0,,Yes,1,,,No,No,,,100.00%,0.00%
hehe,HeHe,62.67,,,,,,2 yrs 9 mos,2023-09-20,2 yrs 9 mos,2023-09-20,0,,0,,1,https://twitter.com/hehememetoken,0,,0,,Ethereum | Bsc,0,,Yes,1,,,No,No,,,99.99%,0.00%
modex,Modex,69.76,,$19.62,,,,7 yrs 8 mos,2018-10-20,7 yrs 8 mos,2018-10-20,0,,0,,1,https://twitter.com/modex_tech,0,,0,,Ethereum,0,,No,,,,No,No,,,66.38%,0.00%
smashcash,Smash Cash,62.59,,,,,,8 yrs 10 mos,2017-08-20,4 yrs 7 mos,2021-11-20,0,,1,https://github.com/smashcash,1,https://twitter.com/smashcashio,0,,1,https://t.me/smashcashio,Bsc,0,,Yes,1,12/30/2021,Smash Cash,No,No,,,13.66%,2.28%
yoshi-exchange,Yoshi.exchange,62.47,$79.59K,$465.90,$4.00,$37.00,$449.06M,4 yrs 6 mos,2021-12-20,4 yrs 6 mos,2021-12-20,0,,0,,1,https://twitter.com/YoshiExchange,0,,0,,Ethereum,1,10/22/2021|,No,,,,No,No,,,76.05%,18.91%
mmfinance,Mad Meerkat Finance,59.96,$79.84K,$438.00,,,,4 yrs 6 mos,2021-12-20,0 yrs 0 mos,2026-06-20,0,,1,https://github.com/madmeerkatburrow/,1,https://twitter.com/MMFcrypto,0,,1,https://t.me/MMFCrypto,Cronos,0,,Yes,1,12/22/2021,MM Finance,No,No,,,,
horizondex,HorizonDEX,62.63,,,,,,3 yrs 0 mos,2023-06-20,0 yrs 0 mos,2026-06-20,0,,1,https://github.com/HorizonDex,1,https://twitter.com/horizondex_io,0,,0,,Linea | Base,3,07/11/2023|Hacken; 07/07/2023|Solidproof; 07/01/2023|Solidproof,No,,,,No,Yes,,,,
globiance-exchange-token,Globiance Exchange Token,62.69,,,,,,7 yrs 8 mos,2018-10-20,0 yrs 0 mos,2026-06-20,0,,0,,1,https://twitter.com/globiance,0,,0,,Xinfin | Sectors | Stablecoin | DEX | Socials,0,,No,,,,No,No,,,,
superbots,SuperBots,62.53,,$0.78,,,,5 yrs 3 mos,2021-03-20,5 yrs 3 mos,2021-03-20,0,,0,,1,https://twitter.com/SuperBots_Fi,0,,0,,Bsc,0,,Yes,1,,,No,No,,,43.76%,0.00%
swing_xyz,Swing,62.54,,$50.64K,,,,1 yrs 6 mos,2024-12-20,1 yrs 6 mos,2024-12-20,0,,0,,1,https://twitter.com/swing_xyz,0,,1,https://t.me/swingxyz,Ethereum | Solana,0,,No,,,,No,No,,,94.24%,0.00%
cronaswap,CronaSwap,62.51,,$118.21,,,,4 yrs 8 mos,2021-10-20,0 yrs 0 mos,2026-06-20,0,,1,https://github.com/cronaswap,1,https://twitter.com/cronaswap,0,,0,,,0,,Yes,1,,,No,No,,,,
dojoswap,Dojoswap,62.71,,,,,,4 yrs 7 mos,2021-11-20,4 yrs 7 mos,2021-11-20,0,,1,https://github.com/Shibnobi,1,https://twitter.com/Shib_nobi,0,,1,https://t.me/ShibnobiCommunity,Ethereum,0,,Yes,1,,,No,No,,,43.70%,0.00%
total-crypto-market-cap-token,Total Crypto Market Cap Token,62.37,,,,,,5 yrs 11 mos,2020-07-20,5 yrs 2 mos,2021-04-20,0,,1,https://github.com/cryptexfinance,1,https://twitter.com/cryptexfinance,0,,0,,Ethereum,0,,No,,,,No,No,,,96.57%,0.00%
zoocoin,ZooCoin,62.46,,,,,,5 yrs 2 mos,2021-04-20,0 yrs 0 mos,2026-06-20,0,,0,,1,https://twitter.com/CoinZoo,0,,0,,Fantom,0,,No,,,,No,No,,,,
spherium,Spherium,62.45,,,,,,4 yrs 12 mos,2021-06-20,4 yrs 12 mos,2021-06-20,0,,0,,1,https://twitter.com/spheriumfinance,0,,1,https://t.me/spheriumcommunity,Ethereum,2,02/20/2024|Blocksec; 01/17/2022|Blocksec,No,,,,No,No,,,99.90%,49.85%
comsats,Comsats,62.41,,,,,,2 yrs 6 mos,2023-12-20,2 yrs 6 mos,2023-12-20,0,,0,,1,https://twitter.com/comsats_io,0,,0,,Bitcoin,0,,No,,,,No,No,,,61.51%,0.00%
wrapped-energi,Wrapped-Energi,62.34,$150.54K,$476.33,,,,8 yrs 11 mos,2017-07-20,0 yrs 0 mos,2026-06-20,0,,1,https://github.com/energicryptocurrency,1,https://twitter.com/energi,1,https://discord.com/invite/sCtgNC3,1,https://t.me/energicrypto,,0,,No,,,,No,No,,,,
chaincade,ChainCade,62.89,,$6.86,,,,4 yrs 11 mos,2021-07-20,4 yrs 11 mos,2021-07-20,0,,1,https://github.com/chaincade,1,https://twitter.com/ChainCadeBSC,0,,1,https://t.me/chaincade,Bsc,0,,No,,,,No,No,,,13.14%,0.00%
euroe-stablecoin,EUROe Stablecoin,62.33,,$0.00,,,,3 yrs 11 mos,2022-07-20,3 yrs 5 mos,2023-01-20,0,,1,https://github.com/membranefi/,1,https://twitter.com/EUROemoney,0,,0,,,1,12/23/2022|Runtime Verification,No,,,,No,No,,,99.81%,0.00%
blind-boxes,Blind Boxes,62.18,$26.00,$269.87,,,,5 yrs 3 mos,2021-03-20,5 yrs 3 mos,2021-03-20,0,,1,https://github.com/BlindBoxesNFT,1,https://twitter.com/blindboxes_io,0,,1,https://t.me/blindboxes,Ethereum,0,,No,,,,No,No,,,34.84%,0.00%
xenify,Xenify,62.96,,,,,,3 yrs 1 mos,2023-05-20,2 yrs 6 mos,2023-12-20,0,,1,https://github.com/xenify-io,1,https://twitter.com/xenify_io,0,,0,,Bsc | Arbitrum,0,,No,,,,No,No,,,64.40%,0.00%
et-swap,ET Swap,62.41,,,,,,6 yrs 12 mos,2019-06-20,6 yrs 11 mos,2019-07-20,0,,1,https://github.com/wokiwill3/ETSWap/tree/e9b0b690ff99fd6aca482f8a1a1f04b6eecd95cb,1,https://twitter.com/ET_swap,0,,1,https://t.me/ETswapDaoLabs,Bsc | Ethereum,0,,Yes,1,,,No,No,,,,
pera-finance,Pera Finance,62.72,,,,,,5 yrs 4 mos,2021-02-20,4 yrs 2 mos,2022-04-20,0,,1,https://github.com/perafinance,1,https://twitter.com/perafinance,0,,1,https://t.me/perafinance,Avalanche,1,04/05/2022|Hacken,No,,,,No,No,,,92.76%,0.00%
malinka,Malinka,62.19,,$70.59K,$7.44M,$47.27M,$2.09B,4 yrs 11 mos,2021-07-20,,,0,,0,,1,https://twitter.com/PayCashTweet,0,,1,https://t.me/paycashchat,,0,,No,,,,No,No,,,,
btaf-token,BTAF token,62.57,,$14.67K,,,,4 yrs 7 mos,2021-11-20,3 yrs 8 mos,2022-10-20,0,,1,https://github.com/BTafPremiere,1,https://twitter.com/btaftoken,0,,0,,Bsc,0,,No,,,,No,No,,,83.57%,0.00%
kodiak-finance,Kodiak Finance,62.16,,$22.62K,,,,2 yrs 12 mos,2023-06-20,2 yrs 11 mos,2023-07-20,0,,1,https://github.com/kodiak-finance,1,https://twitter.com/KodiakFi,0,,1,https://t.me/KodiakIslandboys,Ethereum,0,,No,,,,No,No,,,,
dex-on-crypto,Dex On Crypto,62.15,,,,,,2 yrs 10 mos,2023-08-20,2 yrs 10 mos,2023-08-20,0,,0,,1,https://twitter.com/dexoncrypto,0,,0,,Bsc,1,08/20/2023|Cyberscope,No,,,,No,No,,,29.82%,0.00%
daex,DAEX,62.27,,,,,,8 yrs 4 mos,2018-02-20,8 yrs 4 mos,2018-02-20,0,,0,,1,https://twitter.com/daexblockchain,0,,1,https://t.me/DAEXOfficial_en,Ethereum,0,,No,,,,No,No,,,95.09%,0.00%
spaceswap,Spaceswap MILK2,62.14,$12.86K,$2.91,,,,5 yrs 8 mos,2020-10-20,5 yrs 8 mos,2020-10-20,0,,0,,1,https://twitter.com/spaceswapdefi,0,,0,,Ethereum,0,,No,,,,No,No,,,0.00%,0.00%
zoocrypto,ZOO - Crypto World,59.64,,$59.64,,,,4 yrs 11 mos,2021-07-20,4 yrs 11 mos,2021-07-20,0,,0,,1,https://twitter.com/zoogamepro,0,,1,https://t.me/zoo_crypto_world,Bsc,0,,Yes,1,,,No,No,,,48.17%,0.00%
tinyman,Tinyman,62.06,,$7.13K,"$465,107.00",$2.79M,$1.35B,5 yrs 1 mos,2021-05-20,0 yrs 0 mos,2026-06-20,0,,1,https://github.com/tinymanorg,1,https://x.com/tinymanorg,0,,1,https://t.me/tinymanofficial,Algorand,0,,No,,,,No,No,,,,
broken-bound,Broken Bound,62.85,,,,,,1 yrs 10 mos,2024-08-20,1 yrs 10 mos,2024-08-20,0,,0,,1,https://x.com/Broken_Bound_,0,,1,https://t.me/BrokenBoundX,Bsc | Ethereum,0,,Yes,1,10/18/2024,Broken Bound,No,No,,,82.55%,0.00%
kibble,Kibble,62.06,,,,,,1 yrs 3 mos,2025-03-20,1 yrs 3 mos,2025-03-20,0,,0,,1,https://x.com/KibbleExchange,0,,1,https://t.me/KibbleChat,Ton | Avalanche,0,,No,,,,No,No,,,99.03%,0.02%
anypad,Anypad,62.61,,$811.04,,,,4 yrs 10 mos,2021-08-20,4 yrs 10 mos,2021-08-20,0,,0,,1,https://twitter.com/AnyPadio,0,,1,https://t.me/anypad_chat,,0,,Yes,1,,,No,No,,,13.87%,0.00%
ordiswap,Ordiswap,61.89,,$675.15,,,,2 yrs 6 mos,2023-12-20,2 yrs 5 mos,2024-01-20,0,,1,https://github.com/ordiswap,1,https://twitter.com/OrdiswapLabs,0,,1,https://t.me/OrdiswapLabs,Bitcoin | Ethereum,0,,No,,,,No,No,,,24.33%,0.00%
cadence-protocol,Cadence Protocol,61.90,,,,,,2 yrs 5 mos,2024-01-20,2 yrs 5 mos,2024-01-20,0,,0,,1,https://twitter.com/CadenceProtocol,0,,0,,Canto | Sectors | DeFi | DEX | Socials,0,,No,,,,No,No,,,69.53%,0.00%
didswap,DIDSWAP,62.54,,$11.52,,,,3 yrs 0 mos,2023-06-20,3 yrs 0 mos,2023-06-20,0,,0,,1,https://twitter.com/DID_Swap,0,,0,,Bsc,0,,Yes,1,,,No,No,,,5.87%,0.00%
brewlabs,Brewlabs,61.92,,$250.23,,,,4 yrs 6 mos,2021-12-20,4 yrs 6 mos,2021-12-20,0,,0,,1,https://twitter.com/teambrewlabs,0,,0,,Bsc | Ethereum,0,,Yes,4,,,No,No,,,23.25%,0.00%
phoenix-blockchain,Phoenix Blockchain,61.76,,,,,,4 yrs 11 mos,2021-07-20,3 yrs 12 mos,2022-06-20,0,,1,https://github.com/Phoenix-Phire,1,https://twitter.com/phoenixblockchn,0,,0,,,1,07/18/2021|TechRate,No,,,,No,No,,,100.00%,0.00%
spume,Spume Protocol,61.89,,,,,,3 yrs 10 mos,2022-08-20,3 yrs 10 mos,2022-08-20,0,,0,,1,https://twitter.com/spumeio,0,,0,,Ethereum,0,,No,,,,No,No,,,41.95%,0.00%
timeswap,Timeswap,61.80,$122.15K,$0.18,,,,5 yrs 6 mos,2020-12-20,5 yrs 6 mos,2020-12-20,0,,1,https://github.com/Timeswap-Labs,1,https://twitter.com/TimeswapLabs,1,https://discord.com/invite/timeswap,0,,Arbitrum | Ethereum,0,,No,,,,No,No,,,,
dpex,Dpex,56.42,,$20.04,,,,3 yrs 6 mos,2022-12-20,3 yrs 6 mos,2022-12-20,0,,1,https://github.com/DPEX-io/,1,https://twitter.com/DPEX_io,0,,1,https://t.me/dpex_io,Polygon,0,,Yes,1,,,No,No,,,,
acsi-finance,Acsi Finance,62.26,,$1.41,,,,5 yrs 6 mos,2020-12-20,5 yrs 6 mos,2020-12-20,0,,0,,1,https://twitter.com/acryptosdao,0,,1,https://t.me/acryptos,Bsc,0,,No,,,,No,No,,,100.00%,0.00%
mars-doge,Mars Doge,61.72,,,,,,4 yrs 11 mos,2021-07-20,4 yrs 8 mos,2021-10-20,0,,1,https://github.com/MarsDogeToken,1,https://twitter.com/MarsDogeToken,0,,0,,Bsc,0,,Yes,1,,,No,No,,,16.13%,0.00%
pibridge,PiBridge,62.22,,$267.29,,,,3 yrs 8 mos,2022-10-20,3 yrs 8 mos,2022-10-20,0,,0,,1,https://twitter.com/PiBridgeOrg,0,,0,,Bsc,1,11/04/2022|Verichains,No,,,,No,No,,,97.51%,0.02%
safeswap,SafeSwap,61.69,,$136.37,,,,4 yrs 7 mos,2021-11-20,4 yrs 7 mos,2021-11-20,0,,0,,1,https://twitter.com/YfdaiF,0,,1,https://t.me/ssgtofficial,,0,,No,,,,No,No,,,76.46%,0.00%
falxdex,FalXDex,61.68,$92.44K,$5.10,,,,,,,,0,,0,,1,https://x.com/FalxDex,0,,0,,Solana,4,10/03/2024|Solidproof; 09/30/2024|Solidproof; 09/14/2024|Solidproof; 08/25/2024|Solidproof,No,,,,No,No,,,,
my-liquidity-partner,My Liquidity Partner,61.67,,,,,,4 yrs 1 mos,2022-05-20,4 yrs 1 mos,2022-05-20,0,,0,,1,https://twitter.com/MyLiquidity_MLP,0,,0,,Ethereum,0,,No,,,,No,No,,,96.90%,0.00%
leonicornswap,Leonicorn Swap,62.21,,,$1.00,$35.00,$71.69M,5 yrs 0 mos,2021-06-20,4 yrs 12 mos,2021-06-20,0,,1,https://github.com/Leonicornswap,1,https://twitter.com/swapleonicorn,0,,1,https://t.me/leonicornswap,Bsc,0,,Yes,1,,,No,No,,,4.18%,0.28%
1sol,1Sol,61.63,,,,,,5 yrs 1 mos,2021-05-20,4 yrs 7 mos,2021-11-20,0,,1,https://github.com/1sol-io,1,https://twitter.com/1solProtocol,0,,1,https://t.me/onesolcommunity,Ethereum,2,11/11/2021|Fairyproof; 11/08/2021|Fairyproof,No,,,,No,No,,,99.53%,0.00%
aloha,Aloha,61.59,,,,,,5 yrs 5 mos,2021-01-20,5 yrs 5 mos,2021-01-20,0,,1,https://github.com/Aloha-Open-Wifi,1,https://twitter.com/AlohaDefi,0,,0,,Ethereum,0,,No,,,,No,No,,,94.01%,0.00%
dexpools,Dexpools,61.27,,,,,,5 yrs 0 mos,2021-06-20,4 yrs 4 mos,2022-02-20,0,,1,https://github.com/Dexpools,1,https://twitter.com/DexPools,0,,0,,Ethereum,0,,No,,,,No,No,,,99.34%,0.00%
nucleon,Nucleon,61.51,,$59.42,,,,4 yrs 3 mos,2022-03-20,0 yrs 0 mos,2026-06-20,0,,0,,1,https://twitter.com/OfficialNucleon,0,,1,https://t.me/nucleonspace,Conflux,0,,No,,,,No,No,,,,
crir-msh,CRIR MSH,62.01,,,,,,4 yrs 11 mos,2021-07-20,4 yrs 11 mos,2021-07-20,0,,1,https://github.com/crirmsh,1,https://twitter.com/CRIR_MSH,0,,1,https://t.me/MSH_WORLD_GROUP,Bsc,1,09/30/2021|TechRate,No,,,,No,No,,,9.17%,0.00%
hmx,HMX,61.37,,,,,,3 yrs 10 mos,2022-08-20,3 yrs 0 mos,2023-06-20,0,,0,,1,https://twitter.com/HMXorg,0,,0,,Arbitrum,0,,No,,,,No,No,,,99.11%,0.00%
balancer-boosted-aave-usdc,Balancer Boosted Aave USDC,61.14,,,,,,3 yrs 10 mos,2022-08-20,3 yrs 10 mos,2022-08-20,0,,1,https://github.com/balancer-labs,1,https://twitter.com/Balancer,0,,0,,Ethereum,0,,No,,,,No,No,,,100.00%,0.00%
stronghands-finance,StrongHands Finance,61.04,,,,,,4 yrs 4 mos,2022-02-20,4 yrs 4 mos,2022-02-20,0,,1,https://github.com/stronghandsblockchain,1,https://twitter.com/shndxofficial,0,,1,https://t.me/StrongHands,Ethereum,0,,No,,,,No,No,,,5.75%,0.00%
bitx,Bitx,61.35,,,,,,12 yrs 8 mos,2013-10-20,0 yrs 0 mos,2026-06-20,0,,0,,1,https://twitter.com/BitX_Brc20,0,,1,https://t.me/+dAfQrta0lfI0ODk8,Bitcoin | Brc-20,1,11/15/2023|Cyberscope,No,,,,No,No,,,,
metria,Metria,61.14,,,,,,4 yrs 4 mos,2022-02-20,4 yrs 4 mos,2022-02-20,0,,0,,1,https://twitter.com/metria_network,0,,1,https://t.me/MetriaNetwork,Ethereum,0,,No,,,,No,No,,,99.75%,0.00%
titano,Titano,61.12,,,"$2,533.00","$10,115.00",$60.39M,4 yrs 7 mos,2021-11-20,4 yrs 1 mos,2022-05-20,0,,1,https://github.com/titano-finance,1,https://twitter.com/TitanoFinance,0,,0,,Bsc,0,,Yes,1,,,No,No,,,0.36%,9.59%
yodeswap,YodeSwap,61.15,$3.46K,$1.62,$0,$0,$58.68M,2 yrs 5 mos,2024-01-20,0 yrs 0 mos,2026-06-20,0,,0,,1,https://twitter.com/Yodeswap,0,,1,https://t.me/YodeSwap,Dogecoin | Sectors | DEX | Socials,0,,No,,,,No,No,,,,
luna-inu-,Luna Inu,62.89,$326.32K,$18.37K,,,,4 yrs 1 mos,2022-05-20,4 yrs 1 mos,2022-05-20,0,,0,,1,https://twitter.com/Luna_Inu_ERC20,0,,1,https://t.me/linu_v1,Ethereum,0,,No,,,,No,No,,,16.10%,0.00%
payrue-propel,PayRue (Propel),61.06,,$0.00,,,,5 yrs 9 mos,2020-09-20,5 yrs 9 mos,2020-09-20,0,,1,https://github.com/PayRueOrg,1,https://twitter.com/pay_rue,1,https://discord.com/invite/j6FN4kZk2R,0,,Bsc,0,,No,,,,No,No,,,100.00%,0.00%
kawakami,Kawakami,60.94,,,,,,5 yrs 0 mos,2021-06-20,4 yrs 3 mos,2022-03-20,0,,1,https://github.com/kawatoken,1,https://twitter.com/Kawakami_io,0,,0,,Ethereum,0,,Yes,1,,,No,No,,,12.60%,0.00%
firefly,Firefly,60.98,,,$143.00,$572.00,$15.87M,2 yrs 4 mos,2024-02-20,0 yrs 0 mos,2026-06-20,0,,0,,1,https://x.com/FireFlydexZK,0,,0,,Manta | Sectors | DeFi | DEX | Socials,0,,No,,,,No,No,,,,
sashimi,Sashimi,60.96,$52.61K,$2.16,,,,5 yrs 9 mos,2020-09-20,5 yrs 9 mos,2020-09-20,0,,0,,1,https://twitter.com/SASHIMISASHIMI5,0,,0,,Ethereum,0,,No,,,,No,No,,,85.61%,1.78%
ignitechain,Ignitechain,60.96,,,,,,4 yrs 5 mos,2022-01-20,3 yrs 10 mos,2022-08-20,0,,1,https://github.com/ignitechain/,1,https://twitter.com/ignitechain,0,,1,https://t.me/IgniteChain,Bsc,0,,Yes,1,,,No,No,,,61.51%,0.01%
tigris,Tigris,60.99,,,,,,3 yrs 10 mos,2022-08-20,3 yrs 0 mos,2023-06-20,0,,1,https://github.com/Tigris-Trade,1,https://twitter.com/TigrisTrades,0,,1,https://t.me/tigristrade,Arbitrum,1,08/30/2022|InterFi Network,No,,,,No,No,,,,
wrapped-besc,Wrapped BESC,61.08,,$12.17K,,,,3 yrs 3 mos,2023-03-20,3 yrs 3 mos,2023-03-20,0,,0,,1,https://twitter.com/BESCLLC,0,,0,,Bsc,0,,No,,,,No,No,,,42.17%,0.00%
oolongswap,OolongSwap,61.01,,,$630.00,"$8,028.00",$1.15B,4 yrs 9 mos,2021-09-20,0 yrs 0 mos,2026-06-20,0,,1,https://github.com/OolongSwap/oolongswap-deployments/,1,https://twitter.com/oolongswap,0,,1,https://t.me/oolongswap,,0,,Yes,1,10/15/2021,OolongSwap,No,No,,,,
varen,Varen,60.89,,,,,,5 yrs 1 mos,2021-05-20,5 yrs 1 mos,2021-05-20,0,,0,,1,https://twitter.com/varenfinance,0,,1,https://t.me/varenfinance,Ethereum,0,,No,,,,No,No,33,10K,38.65%,0.00%
chargedefi,Charge DeFi,61.35,,$29.03,,,,4 yrs 7 mos,2021-11-20,4 yrs 7 mos,2021-11-20,0,,0,,1,https://twitter.com/BloomifyApp,0,,0,,Bsc,0,,Yes,2,,,No,No,,,41.14%,0.00%
sat-is,Sat.is,60.66,,,,,,4 yrs 8 mos,2021-10-20,4 yrs 8 mos,2021-10-20,0,,1,https://github.com/Satis-Foundation/Satis-core/tree/cf32f01d928dc2f81fdd238300e71f150c211f6b/contracts/v2,1,https://twitter.com/SatisDEX,0,,0,,Arbitrum | Avalanche,0,,Yes,1,,,No,No,,,,
neocortexai,NeoCortexAI,60.87,,,,,,3 yrs 3 mos,2023-03-20,3 yrs 3 mos,2023-03-20,0,,0,,1,https://twitter.com/NeoCortexAI,0,,1,https://t.me/NeoCortexAI,,2,04/20/2024|Solidproof; 03/01/2023|Solidproof,No,,,,No,No,,,88.51%,36.35%
agile-finance,Agile Finance,60.86,,,,,,4 yrs 8 mos,2021-10-20,0 yrs 0 mos,2026-06-20,0,,1,https://github.com/agiledefi,1,https://twitter.com/agiledefi,0,,1,https://t.me/agiledefi,,0,,Yes,1,11/15/2021,Agile Finance,No,No,,,,
chilliswap,ChilliSwap,60.75,,$0.00,,,,5 yrs 2 mos,2021-04-20,4 yrs 7 mos,2021-11-20,0,,1,https://github.com/Chilliswap-org,1,https://twitter.com/chilliswapdex,0,,1,https://t.me/ChilliSwap,,0,,Yes,1,,,No,No,,,99.68%,0.00%
fortuneum,Fortuneum,61.49,,,,,,3 yrs 7 mos,2022-11-20,3 yrs 7 mos,2022-11-20,0,,0,,1,https://twitter.com/FortuneumPOS,0,,1,https://t.me/FortuneumOfficial,Bsc,0,,Yes,1,11/18/2022,FORTUNE,No,No,,,60.01%,0.00%
psyop,Psyop,60.69,,$0.00,,,,3 yrs 1 mos,2023-05-20,3 yrs 1 mos,2023-05-20,0,,0,,1,https://twitter.com/psyopeth,0,,0,,Ethereum,0,,No,,,,No,No,,,98.61%,0.00%
elf-wallet,ELF Wallet,61.12,,$300.09,,,,3 yrs 9 mos,2022-09-20,3 yrs 9 mos,2022-09-20,0,,1,https://github.com/ELF-Wallet,1,https://twitter.com/ElfWallet,0,,1,https://t.me/ElfWallet_Global,Bsc,0,,No,,,,No,No,,,8.12%,0.00%
golden-doge,Golden Doge,60.71,$55.16K,$1.12,,,,4 yrs 11 mos,2021-07-20,4 yrs 11 mos,2021-07-20,0,,1,https://github.com/Golden-Doge-Token,1,https://twitter.com/GoldenDoge11,0,,0,,Bsc,0,,No,,,,No,No,,,1.29%,16.87%
dfyn-network,Dfyn Network,60.69,$46.99K,$717.26,"$4,711.00","$27,729.00",$2.91B,5 yrs 8 mos,2020-10-20,5 yrs 1 mos,2021-05-20,0,,1,https://github.com/dfyn,1,https://twitter.com/_dfyn,0,,0,,Ethereum | Polygon,0,,No,,,,No,No,5,19M,67.99%,0.00%
pankuku,panKUKU,60.66,,$0.00,,,,4 yrs 6 mos,2021-12-20,4 yrs 6 mos,2021-12-20,0,,0,,1,https://twitter.com/pankukuofficial,0,,1,https://t.me/pankuku,Bsc,1,05/02/2022|Cyberscope,No,,,,No,No,,,70.46%,8.06%
